subid,depressionDepth_m,depressionAreaFrac,deprCatchAreaFrac,
114273,0.145344748,0.09344914,0.611704091,
114181,0.190641766,0.083651286,1,
113686,0.224704263,0.080000795,0.968294413,
113826,0.237631148,0.044083676,0.993489042,
113685,0.256639012,0.028224672,0.997744297,
114383,0.721985664,0.029585407,0.710815857,
113669,0.104672639,0.03142469,0.194665443,
113808,0.259003833,0.039583893,1,
113690,0.418607612,0.057163024,0.618258691,
114308,0.350026455,0.104971332,0.903533118,
113675,0.146438681,0.033048582,0.816075032,
114141,0.42636405,0.070900978,0.47823575,
114340,0.35882966,0.047659766,0.864672178,
114147,1.619133167,0.120076035,0.816578584,
114435,0.172874419,0.056768891,1,
114420,0.573999065,0.073096957,0.852340775,
114216,0.208596448,0.116947514,1,
114139,0.689521469,0.073626679,0.732764473,
114341,0.689829222,0.051851116,0.754148715,
114131,0.713951755,0.086250572,0.810372295,
113797,0.257671687,0.167251456,0.994724811,
113628,0.162002667,0.106470664,0.801644483,
113793,0.377657415,0.042448142,1,
114450,0.226329661,0.086733736,0.866699336,
113981,0.423634656,0.032098213,0.998453303,
113957,0.248272191,0.051228893,1,
113648,0.119424478,0.033141409,0.914400346,
114310,0.175528012,0.108194575,0.721588423,
114348,0.299531216,0.055273628,0.753306339,
114215,1.066333991,0.150555318,0.878575647,
114344,0.449833904,0.160773507,0.915747169,
114043,0.601501074,0.103718309,0.995329931,
114184,0.258763853,0.049516776,0.997594469,
114256,0.302414704,0.105144226,1,
114208,0.641677197,0.14234972,0.923153634,
113760,0.371794481,0.090123998,1,
113691,0.20103969,0.109064667,0.881897861,
113759,0.312959898,0.029548782,1,
114187,0.146023803,0.033888317,0.780959181,
114445,0.588031711,0.079438369,0.85505168,
113646,0.177426316,0.010776018,0.546537308,
114085,0.304444859,0.059359454,0.731834684,
114115,0.907980926,0.068834726,0.81811573,
113625,0.234204085,0.05788861,0.945648819,
113877,0.170855883,0.218779685,0.968930347,
113738,0.282240203,0.032492978,1,
114283,0.297493169,0.060985888,0.998788049,
114003,0.180839693,0.035719173,1,
113622,0.30366248,0.115845856,0.953620006,
114103,0.460949068,0.114746421,0.99061678,
113652,0.108310051,0.02668646,0.808707399,
114355,0.322876979,0.047447744,0.836535825,
113850,0.303936765,0.050520099,0.826110628,
113903,0.389123064,0.051594432,1,
114346,0.338323633,0.035325998,0.363852569,
114149,0.679539984,0.04175732,0.743252181,
113624,0.327321491,0.045844012,1,
113724,0.267396718,0.029089866,1,
113825,0.314487025,0.117341741,0.874494226,
113991,0.313432032,0.034069151,0.666631789,
114219,0.218185955,0.126806789,1,
113923,0.470929527,0.089928784,1,
114025,0.29864341,0.096961651,0.991442314,
113894,0.449955578,0.059136764,0.99229158,
114011,0.155754382,0.034299953,1,
114137,0.400930386,0.085738087,1,
113677,0.215601981,0.049093291,0.979918952,
113661,0.200785829,0.069221548,0.793929684,
114101,0.80286211,0.03530821,1,
114180,0.195024024,0.046410967,1,
113739,0.182031318,0.037396818,0.71400792,
114239,0.518679518,0.156692807,0.837875105,
113862,0.222715224,0.042770914,0.970851282,
114376,0.262673143,0.052913049,1,
114304,0.169265757,0.093198578,0.726949621,
114374,0.540874873,0.068706741,0.990361386,
113976,0.253123534,0.092700577,0.790519552,
113829,0.466703416,0.1025931,0.752683637,
114343,0.380695078,0.080351158,0.80332724,
113807,0.236471132,0.104598692,0.999991326,
113717,0.200626049,0.048715114,0.813884794,
114432,0.15509731,0.039298456,1,
113613,0.418948853,0.038635602,0.998302144,
113705,0.339868021,0.107596325,1,
113942,0.422465414,0.017278557,0.832245562,
113828,0.701874107,0.090306215,1,
114351,0.300516149,0.048260656,0.591146783,
113700,0.338769254,0.051748063,1,
113664,0.121808853,0.021854111,0.760272655,
113986,0.300315569,0.040918979,1,
114280,0.283254484,0.276528803,1,
113619,0.728531359,0.011304502,1,
114186,0.216195361,0.087091065,1,
113818,0.456261453,0.056344162,0.983748392,
114028,0.224702232,0.100340559,1,
114321,0.685961224,0.048567007,0.993090053,
113657,0.224914338,0.054404473,0.865734458,
113932,0.192512331,0.03990532,1,
114460,0.92512572,0.047540876,0.865015963,
114423,0.213584734,0.045054663,1,
114122,0.290382995,0.104457205,1,
114318,0.305765666,0.138878946,0.90490752,
114262,0.245693423,0.032465528,1,
114192,0.220007246,0.040316516,1,
114241,0.214100886,0.034498424,0.857504552,
114430,0.18142485,0.049613332,1,
113651,0.146665305,0.031579193,0.991022945,
114165,0.640564255,0.07958565,0.802777254,
114342,0.998813427,0.067369558,0.792638939,
114152,0.472524052,0.048577293,1,
114406,0.334485933,0.114183036,1,
113888,0.767635958,0.011165791,1,
113731,0.167600095,0.018576045,1,
113802,0.566454413,0.036392786,0.94861843,
113937,0.550195446,0.052130893,1,
113742,0.192597751,0.019281596,1,
113950,0.17807766,0.026839926,1,
114380,0.732504177,0.01506377,0.997599047,
114099,0.148360393,0.090377287,0.918817668,
114097,1.085160151,0.127373399,0.874586043,
114191,0.181145179,0.117807738,0.999250957,
113912,0.187997052,0.026930258,1,
113789,0.172100355,0.025928225,1,
113821,0.232757568,0.022189268,1,
113695,0.148390283,0.028672076,1,
114111,1.05948716,0.110354487,0.995496566,
114027,0.198919893,0.082904699,1,
113951,0.480739318,0.104802988,0.99872668,
114094,0.288936998,0.050238509,1,
113649,0.124051092,0.014769719,0.758754961,
113641,0.160181846,0.024687158,0.927188732,
114075,0.192852729,0.012870258,0.999661305,
114205,0.173223043,0.038654119,0.896876532,
114334,0.609420558,0.125383959,0.886702744,
114182,0.167528899,0.033473703,1,
113667,0.196829104,0.024702957,0.975173709,
113785,0.344585338,0.025708756,0.999261819,
114378,0.32121344,0.049605285,0.996914763,
114352,0.250616544,0.023827903,0.298309229,
113980,0.27307141,0.067216272,1,
114153,0.323999304,0.040536043,0.618851451,
114073,0.268316377,0.014868897,0.99628409,
114212,0.56319335,0.096126924,1,
113666,0.221178888,0.071510633,0.869739011,
114367,0.501478854,0.054812105,0.988192916,
113849,0.497667864,0.076601486,1,
114154,0.368958325,0.086806366,0.998862613,
113858,0.742572416,0.012241393,1,
113814,0.266400683,0.06619963,0.967977783,
113878,0.303248344,0.102361321,0.999519927,
113939,0.21974183,0.054403785,0.921289744,
114284,0.193722496,0.100203217,1,
113926,0.254023097,0.058478169,1,
114105,0.47018499,0.061617792,1,
114112,0.355083269,0.077129193,0.994471314,
114292,0.218022463,0.027618028,0.989820009,
114194,0.279389578,0.050746962,1,
113754,0.185605695,0.085382682,0.980905945,
114029,0.522185272,0.052654293,1,
113688,0.248663773,0.035353642,0.94525988,
114276,1.247408991,0.036372834,0.556135754,
113800,0.404674601,0.022469672,1,
113767,0.215264748,0.041006415,0.800599811,
114326,0.605183079,0.097794873,0.787340813,
114268,1.290806059,0.23110625,0.960203424,
113659,0.217081935,0.029841462,0.993577694,
114324,0.284696851,0.040817697,0.98979296,
114070,0.255576348,0.066781226,1,
113925,0.812682377,0.090682478,1,
113720,0.432391787,0.048809172,0.769756595,
113611,1.234951556,0.021214986,1,
114372,0.528084241,0.085091462,0.833162389,
114224,0.266259727,0.055529696,1,
114143,0.244234759,0.070178827,1,
114065,0.36617606,0.072744177,0.986241555,
113967,0.789577578,0.077259158,1,
114061,0.356987677,0.030335134,0.844382025,
114164,0.778655757,0.109003311,0.985884629,
113617,0.506042793,0.004632173,1,
114402,0.198682513,0.07055602,0.804452068,
113917,0.383443664,0.031664647,1,
113931,0.678489608,0.085350628,0.99763255,
114227,0.202096443,0.039195001,0.967812004,
114202,0.178608516,0.047770535,1,
113774,0.356427898,0.023760723,1,
113762,0.23468259,0.025446751,1,
113621,0.219982674,0.036069451,0.999976176,
114409,0.287674427,0.049162364,1,
113845,0.25152041,0.014144949,1,
114238,0.198909358,0.036477509,0.995306667,
114084,1.030605559,0.068984671,0.999097547,
113806,0.356652071,0.030067978,1,
113701,0.125604939,0.017738952,1,
113819,0.253521101,0.108879584,0.838927177,
114171,0.395225382,0.02664154,0.98516752,
113672,0.189598674,0.095714728,0.968977247,
113979,0.380231427,0.059040835,1,
113746,0.251042684,0.016052208,1,
114426,0.251264695,0.031826554,1,
114211,0.268704443,0.069704767,1,
114128,0.293521774,0.013680327,0.830711274,
114248,0.235746214,0.036128067,0.918500709,
114178,0.291474643,0.063860112,1,
114455,0.692982331,0.102097202,0.710977884,
113743,0.287508232,0.060648881,0.986173633,
114229,0.174080578,0.046222734,1,
114366,0.405546888,0.06517376,0.990054105,
